nconobc :
   8
Array: freqnames
  Q1   O1   P1   K1   N2   M2   S2   K2
Array: zetobu_amp
  2.5590000E+00  7.8920002E+00  3.1059999E+00  1.0140000E+01  2.4059999E+01  1.1509700E+02  4.1634998E+01  1.1850000E+01
  2.6170001E+00  7.8720002E+00  3.1080000E+00  1.0167000E+01  2.4018000E+01  1.1494600E+02  4.1685001E+01  1.1846000E+01
  2.6719999E+00  7.8540001E+00  3.1099999E+00  1.0194000E+01  2.3978001E+01  1.1480500E+02  4.1734001E+01  1.1842000E+01
  2.7110000E+00  7.8390002E+00  3.1099999E+00  1.0212000E+01  2.3948000E+01  1.1469700E+02  4.1764999E+01  1.1839000E+01
  2.7479999E+00  7.8260002E+00  3.1110001E+00  1.0228000E+01  2.3920000E+01  1.1459200E+02  4.1794998E+01  1.1836000E+01
  2.7969999E+00  7.8109999E+00  3.1129999E+00  1.0255000E+01  2.3886999E+01  1.1448000E+02  4.1842999E+01  1.1834000E+01
  2.8429999E+00  7.7979999E+00  3.1159999E+00  1.0281000E+01  2.3858000E+01  1.1438200E+02  4.1891998E+01  1.1833000E+01
  2.8870001E+00  7.7870002E+00  3.1190000E+00  1.0309000E+01  2.3832001E+01  1.1429800E+02  4.1943001E+01  1.1834000E+01
  2.9180000E+00  7.7770000E+00  3.1199999E+00  1.0325000E+01  2.3809999E+01  1.1422100E+02  4.1971001E+01  1.1832000E+01
  2.9480000E+00  7.7670002E+00  3.1210001E+00  1.0340000E+01  2.3789000E+01  1.1414600E+02  4.1999001E+01  1.1830000E+01
  2.9770000E+00  7.7570000E+00  3.1220000E+00  1.0355000E+01  2.3768000E+01  1.1407400E+02  4.2026001E+01  1.1829000E+01
  3.0060000E+00  7.7480001E+00  3.1240001E+00  1.0370000E+01  2.3749001E+01  1.1400500E+02  4.2051998E+01  1.1828000E+01
  3.0330000E+00  7.7389998E+00  3.1250000E+00  1.0383000E+01  2.3729000E+01  1.1393600E+02  4.2076000E+01  1.1826000E+01
  3.0590000E+00  7.7300000E+00  3.1250000E+00  1.0396000E+01  2.3709999E+01  1.1386900E+02  4.2099998E+01  1.1824000E+01
  3.0840001E+00  7.7210002E+00  3.1259999E+00  1.0408000E+01  2.3691000E+01  1.1380100E+02  4.2120998E+01  1.1823000E+01
  3.1180000E+00  7.7220001E+00  3.1329999E+00  1.0444000E+01  2.3688000E+01  1.1381300E+02  4.2187000E+01  1.1830000E+01
  3.1500001E+00  7.7270002E+00  3.1429999E+00  1.0488000E+01  2.3691999E+01  1.1386400E+02  4.2264999E+01  1.1841000E+01
  3.1719999E+00  7.7220001E+00  3.1450000E+00  1.0503000E+01  2.3680000E+01  1.1382700E+02  4.2292000E+01  1.1842000E+01
  3.2019999E+00  7.7370000E+00  3.1600001E+00  1.0561000E+01  2.3702000E+01  1.1395800E+02  4.2396999E+01  1.1861000E+01
  3.2320001E+00  7.7620001E+00  3.1789999E+00  1.0636000E+01  2.3740000E+01  1.1416700E+02  4.2529999E+01  1.1887000E+01
  3.2509999E+00  7.7659998E+00  3.1860001E+00  1.0664000E+01  2.3745001E+01  1.1420700E+02  4.2581001E+01  1.1895000E+01
  3.2809999E+00  7.8119998E+00  3.2179999E+00  1.0776000E+01  2.3820000E+01  1.1459400E+02  4.2782001E+01  1.1939000E+01
  3.3139999E+00  7.8790002E+00  3.2609999E+00  1.0926000E+01  2.3930000E+01  1.1515100E+02  4.3050999E+01  1.2001000E+01
  3.3310001E+00  7.9029999E+00  3.2780001E+00  1.0985000E+01  2.3969000E+01  1.1535400E+02  4.3157001E+01  1.2024000E+01
  3.3659999E+00  7.9990001E+00  3.3380001E+00  1.1190000E+01  2.4131001E+01  1.1616200E+02  4.3523998E+01  1.2111000E+01
  3.3550000E+00  7.9569998E+00  3.3120000E+00  1.1105000E+01  2.4059000E+01  1.1580500E+02  4.3370998E+01  1.2073000E+01
  3.3610001E+00  7.8579998E+00  3.2460001E+00  1.0915000E+01  2.3888000E+01  1.1524800E+02  4.3245998E+01  1.2041000E+01
  3.3469999E+00  7.7639999E+00  3.1860001E+00  1.0729000E+01  2.3728001E+01  1.1456700E+02  4.2992001E+01  1.1979000E+01
  3.3299999E+00  7.6960001E+00  3.1400001E+00  1.0582000E+01  2.3613001E+01  1.1411400E+02  4.2824001E+01  1.1940000E+01
  3.3180001E+00  7.6350002E+00  3.0999999E+00  1.0457000E+01  2.3509001E+01  1.1368400E+02  4.2662998E+01  1.1902000E+01
  3.3069999E+00  7.5840001E+00  3.0660000E+00  1.0350000E+01  2.3422001E+01  1.1332900E+02  4.2530998E+01  1.1871000E+01
